image_path,label,description
data/CIFAR100_LT/train/10668.png,77,"The photo features a class snail, showcasing its distinctive features such as a spiraled shell with a rich pattern of brown and cream stripes. The snail is captured in a lush garden scene, surrounded by vibrant green leaves and colorful flowers, where it is slowly making its way along a damp stone pathway. Sunlight filters through the foliage, casting gentle shadows that enhance the snail's textured body and shell."
data/CIFAR100_LT/train/10569.png,71,"A photo of the class sea, **with shimmering azure waters and gentle waves lapping at the shore** **during a golden sunset, casting warm hues across the sky**."
data/CIFAR100_LT/train/10560.png,70,"The photo of the class rose features vibrant, velvety petals in a rich red hue, showcasing delicate dew droplets glistening on its surface. The background is a soft-focus garden, filled with lush green leaves and sunlight filtering through, creating a serene and inviting atmosphere."
data/CIFAR100_LT/train/10589.png,72,"A photo of the class seal, featuring a prominent golden emblem with intricate designs, resting atop a polished wooden desk in a sunlit classroom. The background shows shelves lined with books and educational posters, creating a warm and inviting atmosphere."
data/CIFAR100_LT/train/10743.png,84,"A photo of the class table, **with colorful stationery scattered across the surface** **in a bright classroom filled with natural light**."
data/CIFAR100_LT/train/10758.png,86,"The photo showcases a vintage rotary telephone with a glossy black finish and a gleaming chrome dial. It is positioned on a wooden desk surrounded by a stack of books and a small potted plant, capturing a cozy study scene. The soft, warm lighting highlights the telephone’s textured surface and intricate details, evoking a sense of nostalgia."
data/CIFAR100_LT/train/10585.png,72,"A photo of the class seal, featuring a round, glossy body with a smooth, shiny coat, lounging on a rocky shore under a bright blue sky. The seal has large, expressive eyes, and its whiskers are prominently visible. Nearby, gentle waves lap against the rocks, and a few seagulls can be seen in the background, enhancing the coastal scene."
data/CIFAR100_LT/train/10554.png,70,"A photo of the class rose, showcasing its vibrant red petals with velvety texture, set against a sunlit garden backdrop filled with green leaves and colorful flowers. The delicate dew drops on the petals add an enchanting sparkle, enhancing its beauty within the serene outdoor scene."
data/CIFAR100_LT/train/10826.png,95,"**A photo of the class whale,** showcasing its long, streamlined body with a mottled grey-blue pattern and a prominent dorsal fin. **With distinctive features**, the whale's wide tail flukes are visibly fanned out as it splashes back into the ocean. **In specific scenes**, the image captures the whale breaching the water in a serene marine environment, surrounded by a clear blue sky and the shimmering surface of the ocean, with a few distant boats dotting the horizon."
data/CIFAR100_LT/train/10655.png,76,"A photo of the class skyscraper, showcasing its sleek glass façade and unique triangular roof design, with bustling city streets below and a bright blue sky in the background."
data/CIFAR100_LT/train/10720.png,82,"A photo of the class sunflower, showcasing its vibrant yellow petals, a large dark center with a spiral pattern, and sturdy green leaves. The sunflower stands tall in a sunny garden, surrounded by a variety of other wildflowers and with a clear blue sky in the background, emphasizing its cheerful and bright presence."
data/CIFAR100_LT/train/10732.png,83,"A photo of the class sweet_pepper, featuring vibrant red and yellow hues, with smooth, glossy skin and a slightly tapered shape, set in a vibrant farmer's market scene surrounded by fresh vegetables and fruits."
data/CIFAR100_LT/train/10838.png,98,"In the photo, a class woman with distinctive features, such as curly red hair and vibrant green glasses, stands confidently in a bustling university library. She is surrounded by towering shelves filled with books and is engaged in a lively discussion with her classmates, highlighting her passion for learning. The warm, golden lighting of the library enhances the inviting atmosphere of the scene."
data/CIFAR100_LT/train/10619.png,74,"The photo shows the class shrew, characterized by its small size, elongated snout, and dense fur. In the image, the shrew is depicted nestled among fallen leaves in a sun-dappled forest, showcasing its keen eyes and sharp teeth. The scene captures the shrew’s natural habitat, emphasizing its role in the ecosystem while highlighting its unique features in a serene outdoor setting."
data/CIFAR100_LT/train/10843.png,99,"This photo of the class worm captures its distinctive features, including a bright green coloration and a segmented body, while it is seen crawling across a sunlit classroom desk surrounded by colorful art supplies."
data/CIFAR100_LT/train/10659.png,77,"A photo of the class snail, featuring its spiraled shell with unique patterns in a lush garden scene, surrounded by vibrant green leaves and colorful flowers. The snail is slowly crawling along a moist path, showcasing its textured body and delicate antennae extended, capturing the essence of a serene afternoon in nature."
data/CIFAR100_LT/train/10815.png,94,"The photo of the class wardrobe shows a colorful collection of costumes arranged neatly on hangers, featuring distinctive elements like sequined vests, flowing capes, and oversized hats. The scene is set in a vibrant classroom, where the sunlight filters through the large windows, casting playful shadows and creating a warm atmosphere ideal for creative exploration."
data/CIFAR100_LT/train/10763.png,86,"The photo features a vintage rotary telephone, showcasing its distinctive glossy black finish and gold accents. It is set against a rustic wooden table in a well-lit classroom, with colorful chalkboard drawings in the background, evoking a nostalgic educational atmosphere. The telephone's coiled cord is neatly arranged, and a small pile of retro stationery can be seen nearby, enhancing the scene's charm."
data/CIFAR100_LT/train/10800.png,91,"A photo of the class trout, **with distinctive features** such as a vibrant speckled body, a distinctive forked tail, and shimmering scales, **in specific scenes** like swimming gracefully in a clear freshwater stream surrounded by lush green foliage and smooth pebbles at the bottom."
data/CIFAR100_LT/train/10549.png,70,"A photo of the class rose, with vibrant red petals and a lush green stem, in a sunlit classroom setting. The rose is placed on a wooden desk surrounded by school supplies, with sunlight streaming through a window, highlighting its intricate details and creating a warm, inviting atmosphere."
