label,description
70,"A photo of the class rose, {with elegant petals that transition from crimson to soft pink at the edges}{in a tranquil botanical garden with an array of other flowers blooming vibrantly around it}."
70,"A photo of the class rose, {with intricate spiral-shaped layers and a subtle gradient of red tones}{in an indoor greenhouse filled with tropical plants and soft, diffused light pouring in through glass panels}."
70,"A photo of the class rose, {displaying a tightly closed bud with hints of color peeking through}{in a romantic picnic setting, nestled among scattered petals and a vintage book on a checkered blanket}."
70,"A photo of the class rose, {featuring frosted petals with a hint of sparkle from a light rain}{in a dreamy foggy morning scene, where the soft mist drapes over a garden filled with vibrant greenery}."
70,"A photo of the class rose, {with bright red petals that catch the sunlight beautifully, showcasing slight imperfections that add character}{in a rustic garden with a white picket fence and whimsical garden décor nearby}."
70,"A photo of the class rose, {illuminated from behind to reveal its translucent petals}{in a warm sunset atmosphere, framed by the silhouette of an old oak tree, creating a striking contrast against the glowing sky}."
70,"A photo of the class rose, {with a symphony of color in its velvety petals, enhanced by a gentle breeze that creates movement}{in a serene lakeside setting, where reflections of colorful plants shimmer on the water’s surface}."
70,"A photo of the class rose, {with petals edged in soft cream, giving it a unique twist on the classic red rose}{in a charming courtyard filled with cobblestones and sunlit café tables, inviting guests to sit and admire the beauty}."
70,"A photo of the class rose, {with lush foliage partially obscuring the bloom, offering a sense of mystery}{in a secret garden with an arched entrance, overgrown ivy framing the pathway leading to the rose}."
70,"A photo of the class rose, {with petals displaying faint, delicate stripes of darker red}{in an elegant banquet setting, thoughtfully arranged on a beautifully decorated table with flickering candles and fine china}."
70,"A photo of the class rose, {with vibrant petals contrasting beautifully against glossy dark green leaves}{in an early morning scene with soft sunlight breaking through the clouds, illuminating the rose's stunning features}."
70,"A photo of the class rose, {showing a few petals gently falling, symbolizing the passage of time}{in a picturesque autumn park with fallen leaves blanketing the ground and warm hues of orange and gold surrounding it}."
71,"A photo of the class sea, **with distinctive features such as white sandy beaches and crystal-clear waters** **in specific scenes where families are enjoying a beach picnic under the shade of palm trees**."
71,"A photo of the class sea, **with distinctive features like dramatic waves crashing against cliff faces and lush coastal vegetation** **in specific scenes captured during a stormy afternoon, creating an awe-inspiring and powerful atmosphere**."
71,"A photo of the class sea, **featuring calm waters reflecting the colorful sunset and distant silhouettes of fishing boats** **in specific scenes where local fishermen are casting their nets from wooden canoes, highlighting the connection between the community and the sea**."
71,"A photo of the class sea, **with distinctive features such as rocky tide pools filled with sea life and vibrant starfish** **in specific scenes where children are exploring and identifying different marine creatures during low tide**."
71,"A photo of the class sea, **showcasing deep blue waters and swirling currents** **in specific scenes where surfers are riding the waves, demonstrating the thrill and energy of the ocean**."
71,"A photo of the class sea, **with distinctive features of colorful beach huts lining the shore and gentle surf** **in specific scenes depicting visitors enjoying watersports like paddleboarding and kayaking on a sunny day**."
71,"A photo of the class sea, **featuring serene lagoons with mangroves and hidden coves** **in specific scenes where ecologists are studying the delicate marine ecosystem, showcasing the importance of conservation**."
71,"A photo of the class sea, **with distinctive features such as shimmering water at dawn and colorful fishing nets** **in specific scenes where local fishermen prepare their boats for an early morning catch, illustrating the lifestyle and traditions of coastal communities**."
71,"A photo of the class sea, **featuring vibrant coral gardens teeming with marine life and clear visibility** **in specific scenes where scuba divers are exploring the underwater landscape, capturing the thrill of discovering hidden wonders beneath the waves**."
71,"A photo of the class sea, **with distinctive features like smooth pebbles covering the beach and gentle waves** **in specific scenes accompanied by artists painting the landscape, reflecting the beauty and inspiration drawn from nature**."
71,"A photo of the class sea, **with distinctive features such as swirling tides and seashell-strewn beaches** **in specific scenes where couples are enjoying a romantic sunset walk along the shoreline, creating a picturesque and intimate atmosphere**."
